Date,Open,High,Low,Close
3/2/2020,1.51287,1.51695,1.5104,1.51296
4/2/2020,1.51582,1.51837,1.5111,1.51534
5/2/2020,1.51466,1.52536,1.51363,1.51481
6/2/2020,1.51865,1.52487,1.5183,1.518
7/2/2020,1.52214,1.52609,1.5203,1.52221
10/2/2020,1.5236,1.52439,1.5151,1.52328
11/2/2020,1.51534,1.51584,1.5114,1.51527
12/2/2020,1.513,1.51422,1.5083,1.513
13/2/2020,1.51004,1.51137,1.5048,1.50958
14/2/2020,1.50712,1.51111,1.5041,1.50703
17/2/2020,1.50734,1.50787,1.5036,1.50728
18/2/2020,1.50558,1.50871,1.5018,1.5047
19/2/2020,1.50223,1.50579,1.5009,1.5018
20/2/2020,1.50718,1.51527,1.50636,1.50716
21/2/2020,1.51177,1.51906,1.5094,1.51183
24/2/2020,1.51942,1.51946,1.515,1.5193
25/2/2020,1.51745,1.52173,1.5144,1.51746
26/2/2020,1.52134,1.52312,1.5171,1.5206
27/2/2020,1.52123,1.53443,1.52123,1.52103
28/2/2020,1.5334,1.54061,1.52837,1.53373
2/3/2020,1.53885,1.55109,1.5345,1.53861
3/3/2020,1.54733,1.55407,1.5451,1.54688
4/3/2020,1.5503,1.55082,1.53748,1.55056
5/3/2020,1.54288,1.55207,1.5407,1.54084
6/3/2020,1.55295,1.56428,1.5516,1.55281
9/3/2020,1.56743,1.58987,1.5633,1.56727
10/3/2020,1.57911,1.5823,1.57078,1.57953
11/3/2020,1.57456,1.57927,1.56762,1.5751
12/3/2020,1.57186,1.58674,1.5621,1.57206
13/3/2020,1.57627,1.58425,1.56578,1.5767
16/3/2020,1.57506,1.59666,1.57141,1.57628
17/3/2020,1.58639,1.5894,1.56408,1.58758
18/3/2020,1.57434,1.58411,1.56499,1.57448
19/3/2020,1.57436,1.58556,1.55029,1.57709
20/3/2020,1.54832,1.56103,1.54754,1.54823
23/3/2020,1.55442,1.57823,1.55294,1.55583
24/3/2020,1.56784,1.57718,1.55845,1.56792
25/3/2020,1.56243,1.56926,1.5595,1.56263
26/3/2020,1.57755,1.58306,1.57108,1.57806
27/3/2020,1.57984,1.58215,1.57212,1.58072
30/3/2020,1.58557,1.58737,1.56891,1.5916
31/3/2020,1.5704,1.57163,1.55955,1.57026
1/4/2020,1.56727,1.57492,1.5647,1.56739
2/4/2020,1.57114,1.57378,1.55235,1.571
3/4/2020,1.55124,1.55562,1.54685,1.5512
6/4/2020,1.55579,1.55893,1.54452,1.55563
7/4/2020,1.54591,1.55386,1.5444,1.5458
8/4/2020,1.55252,1.55407,1.54768,1.55245
9/4/2020,1.54766,1.55224,1.545,1.54782
10/4/2020,1.54612,1.54806,1.5432,1.54738
13/4/2020,1.54624,1.55205,1.54173,1.54643
14/4/2020,1.54476,1.55363,1.5441,1.54505
15/4/2020,1.55213,1.5565,1.54973,1.55237
16/4/2020,1.55411,1.55591,1.54741,1.55411
17/4/2020,1.54617,1.54881,1.541,1.54593
20/4/2020,1.5467,1.54787,1.542,1.54724
21/4/2020,1.54329,1.55549,1.5428,1.54357
22/4/2020,1.55382,1.55428,1.5451,1.55358
23/4/2020,1.5434,1.5451,1.53249,1.54372
24/4/2020,1.53474,1.54088,1.52989,1.53453
27/4/2020,1.5392,1.54083,1.5358,1.54011
28/4/2020,1.53687,1.54167,1.5342,1.53697
29/4/2020,1.53425,1.53713,1.5312,1.5345
30/4/2020,1.53471,1.54386,1.5302,1.5338
1/5/2020,1.54425,1.55879,1.5441,1.54462
4/5/2020,1.55551,1.55605,1.54519,1.55568
5/5/2020,1.54432,1.54445,1.5331,1.54398
6/5/2020,1.53495,1.53666,1.53119,1.5345
7/5/2020,1.53567,1.5357,1.52696,1.53589
8/5/2020,1.53139,1.5346,1.5287,1.53156
